| lengths of words  |     time    |    fraction   |     time    |    fraction   |
|___________________|_____________|_______________|_____ new____|______new______|
|       10 10       | 4.41074e-05 |  2.68948e-07  | 4.50611e-05 |   1.34914e-07 | 4.50611e-08
|       20 20       | 8.70228e-05 |  2.55949e-07  | 1.18017e-04 |   6.54197e-08 | 1.47521e-08
|       30 30       | 6.25849e-04 |  2.45816e-07  | 6.69003e-04 |   7.22543e-08 | 2.4778e-08
|       40 40       | 1.56403e-03 |  2.15936e-07  | 1.38998e-03 |   5.62836e-08 | 
|       50 50       | 2.86412e-03 |  2.19423e-07  | 3.09682e-03 |   6.60965e-08 |
|       70 70       | 9.15408e-03 |  2.12136e-07  | 7.29489e-03 |   5.08468e-08 |
|       80 80       | 1.56178e-02 |  2.11733e-07  | 1.1399e-02  |   4.93828e-08 |
|       90 90       | 2.12798e-02 |  1.82860e-07  | 1.6144e-02  |   4.67185e-08 |
|      100 100      | 2.54662e-02 |  1.34610e-07  | 2.24941e-02 |   4.3487e-08  |
|      150 150      | 7.63203e-02 |  1.00672e-07  | 5.18432e-02 |   2.75219e-08 |
|      200 200      |  0.195274   |  9.82219e-08  |  0.109648   |   2.34271e-08 |   
|      250 250      |  0.386337   |  9.61621e-08  |  0.203764   |   2.19061e-08 |
|      300 300      |  0.671654   |  9.61967e-08  |  0.341119   |   2.10821e-08 |
|      350 350      |  1.11965    |  9.73488e-08  |  0.538248   |   2.07331e-08 |
|      400 400      |  1.75312    |  9.93506e-08  |  0.814796   |   2.08299e-08 |
|      450 450      |  2.57155    |  1.03442e-07  |  1.14012    |   2.05701e-08 |
|      500 500      |  3.73608    |  1.04509e-07  |  1.57812    |   2.05381e-08 | 1.252496e-08
|      550 550      |  5.27118    |  1.11981e-07  |  2.10266    |   2.03893e-08 | 1.2638e-08
|      600 600      |  6.79963    |  1.09755e-07  |  2.7354     |   2.04024e-08 | 1.26638e-08
|      650 650      |  8.64007    |  1.08429e-07  |  3.49696    |   2.03466e-08 | 1.27335e-08
|      700 700      |  11.0736    |  1.08942e-07  |  4.50002    |   2.07594e-08 | 1.31195e-08
|      750 750      |  13.4909    |  1.07054e-07  |  5.44675    |   2.03616e-08 | 1.29108e-08
|      800 800      |  16.3957    |  1.10506e-07  |  6.50923    |   2.02753e-08 | 1.27133e-08
|	   850 850      |  19.7665    |  1.10153e-07  |  7.88703    |   2.04964e-08 | 1.28427e-08
|      900 900      |  23.5299    |  1.09651e-07  |  9.35253    |   2.03785e-08 | 1.28292e-08
|      950 950      |  28.1513    |  1.10812e-07  |  11.0026    |   2.037e-08   | 1.28328e-08
|     1000 1000     |  33.9148    |  1.13782e-07  |  13.0628    |   2.072e-08   | 1.30628e-08
|___________________|_____________|_______________|_____________|_______________|
                          x            1.1e-07       x/2.55         2.05e-08 
